Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1121,8.130589652,6.012442737,6.371005582,2.798680426,Iris-setosa
1122,4.706891993,4.09762969,4.407325411,8.362903507,Iris-setosa
1123,8.36545488,9.198139047,1.102407895,4.282968076,Iris-setosa
1124,1.976730372,2.926687755,7.063304451,5.71327685,Iris-setosa
1125,9.102789066,3.533188624,7.933052976,7.480239432,Iris-setosa
1126,9.318288232,8.655996151,8.094391222,6.55657316,Iris-setosa
1127,2.566673265,2.161703586,7.22692444,6.367820367,Iris-setosa
1128,2.275224915,1.210072184,8.677197156,8.459226107,Iris-setosa
1129,6.504002137,5.7774196,5.648434826,8.633745244,Iris-setosa
1130,6.227218388,3.041749245,3.447606947,8.194483744,Iris-setosa
1131,7.321908021,8.892064369,8.80997989,8.569971784,Iris-setosa
1132,3.075711339,9.604858068,4.136795699,7.95162162,Iris-setosa
1133,6.614254128,7.311840586,6.181790807,1.48306831,Iris-setosa
1134,6.944927616,3.875540572,1.448633424,2.204719259,Iris-setosa
1135,6.131610512,3.390866474,5.023094214,6.153099485,Iris-setosa
1136,9.922948647,4.80659735,4.544832676,4.54571983,Iris-setosa
1137,5.596009572,3.661891303,1.228974991,2.320450084,Iris-setosa
1138,8.158044485,5.07757892,1.23283281,2.980807885,Iris-setosa
1139,6.941322294,8.338271096,4.431470872,4.345883228,Iris-setosa
1140,9.96422033,6.103312591,8.717303226,6.706640445,Iris-setosa
1141,9.198223204,5.720010684,3.961476185,6.757463793,Iris-setosa
1142,9.681563844,8.802535575,2.682019823,3.621916376,Iris-setosa
1143,3.726325535,6.418077255,6.700295581,6.104826477,Iris-setosa
1144,7.720642594,6.030136688,5.914857479,8.5916523,Iris-setosa
1145,7.693157782,2.739312227,7.249291256,5.074364207,Iris-setosa
1146,1.205825638,4.823233317,9.066449998,4.357304095,Iris-setosa
1147,8.722558187,2.838595322,8.188694421,4.093039836,Iris-setosa
1148,8.163285985,4.623928033,4.535290743,4.035969028,Iris-setosa
1149,8.31048302,5.097680256,1.530804189,7.282370039,Iris-setosa
1150,1.163391069,1.561827157,1.274957114,5.176765466,Iris-setosa
1151,7.540214299,1.687366176,4.688629981,9.368776674,Iris-setosa
1152,4.145270145,9.798968442,3.11974145,8.902967046,Iris-setosa
1153,5.5348565,1.710354082,7.058118703,4.275855332,Iris-setosa
1154,3.585164391,4.287047638,8.945539072,2.863894329,Iris-setosa
1155,5.549472502,3.646240303,5.2046642,1.0434749,Iris-setosa
1156,7.395427657,3.933497942,5.322356634,8.961589964,Iris-setosa
1157,6.62552883,4.526163457,6.80271727,7.053641753,Iris-setosa
1158,3.990717628,9.667219366,5.683251869,3.641129519,Iris-setosa
1159,4.443215843,3.639479578,5.117827193,2.065628812,Iris-setosa
1160,4.644841874,3.090693227,6.083754611,4.958628187,Iris-setosa
1161,3.160184585,4.852163523,7.203437022,9.026023404,Iris-setosa
1162,9.213392126,9.193660065,3.531199511,2.204931805,Iris-setosa
1163,4.021836799,8.468885394,3.066398392,6.110017369,Iris-setosa
1164,9.553683516,6.29981652,5.930914551,3.292645428,Iris-setosa
1165,6.926240275,8.402340421,8.397271474,3.872297811,Iris-setosa
1166,6.910102002,6.335351358,4.589392314,5.899496438,Iris-setosa
1167,9.158614566,2.351850457,7.101868921,7.351679547,Iris-setosa
1168,7.176655595,3.788667629,5.514529834,9.62693658,Iris-setosa
1169,1.101625103,1.005603109,2.249849403,1.381534412,Iris-setosa
1170,9.300405775,3.252137513,2.362383298,2.869283081,Iris-setosa
1171,6.058002107,7.808556867,6.83642479,1.41097208,Iris-setosa
1172,2.360265334,5.540979457,8.817894088,7.187345478,Iris-setosa
1173,5.809888141,9.957532881,7.729723535,1.614612014,Iris-setosa
1174,3.164350397,3.133106777,4.792289307,6.861595793,Iris-setosa
1175,3.4590948,4.717575358,8.679558622,5.150156884,Iris-setosa
1176,8.846367983,2.628886234,2.495667072,9.258239385,Iris-setosa
1177,6.360903818,6.421011816,3.196373715,3.773232596,Iris-setosa
1178,1.716892014,9.103812902,3.562205768,1.393925318,Iris-setosa
1179,2.761763036,4.520808919,1.385008313,1.948383243,Iris-setosa
1180,6.577346727,1.111914859,2.637627092,6.433979416,Iris-setosa
1181,1.802227219,4.526914438,6.737341963,9.714341231,Iris-setosa
1182,8.939429783,8.088272521,6.773288644,9.238114692,Iris-setosa
1183,3.56955608,5.14206831,2.525400012,9.598480897,Iris-setosa
1184,1.850895397,8.966878349,2.841226722,6.330764829,Iris-setosa
1185,1.873283546,3.568038421,3.244970311,5.098404938,Iris-setosa
1186,3.39314765,2.228726408,2.753101352,1.868008815,Iris-setosa
1187,2.023476783,8.913894922,7.657969219,8.420080057,Iris-setosa
1188,3.082354486,8.651628916,8.971294055,7.379191027,Iris-setosa
1189,7.607292904,5.993074939,3.071627187,2.725399892,Iris-setosa
1190,1.996875758,5.483013114,8.943557327,4.284095424,Iris-setosa
1191,4.991022583,5.893491437,9.369672614,2.893814119,Iris-setosa
1192,8.717411609,9.300525312,7.59864035,1.026973491,Iris-setosa
1193,8.361813248,2.111776503,3.434957665,5.058475291,Iris-setosa
1194,5.070081481,1.060773222,1.507934906,2.245981656,Iris-setosa
1195,3.505680827,2.826275793,3.807718725,1.543052166,Iris-setosa
1196,7.572538106,9.430005124,6.446181361,2.247408219,Iris-setosa
1197,4.143392037,9.076157496,5.102189941,4.508581596,Iris-setosa
1198,6.255235653,5.764661475,4.318075272,1.52200707,Iris-setosa
1199,7.476390152,8.621478635,8.22825162,3.016152361,Iris-setosa
1200,3.66668267,1.106073337,3.244239683,2.025626841,Iris-setosa
1201,2.413253677,6.145570557,6.257677367,9.893779574,Iris-setosa
1202,1.776065783,1.83359098,7.421280112,1.198648818,Iris-setosa
1203,8.801143963,9.178293218,9.826055564,1.298902037,Iris-setosa
1204,6.823372229,1.066131595,6.641617098,2.879173427,Iris-setosa
1205,1.96468671,6.229956186,7.464832265,9.966504339,Iris-setosa
1206,5.688492244,2.516250697,5.877499019,4.104629968,Iris-setosa
1207,2.953633573,9.246623656,7.670154359,2.719430512,Iris-setosa
1208,5.659939234,4.634619799,9.341560684,9.245914333,Iris-setosa
1209,4.585532056,8.026049823,9.349868439,3.492950821,Iris-setosa
1210,2.437637872,8.992519913,3.363349879,3.679730552,Iris-setosa
1211,7.791158948,4.032600668,6.304773422,1.435359989,Iris-setosa
1212,4.574138299,4.809372121,7.908487305,7.399171968,Iris-setosa
1213,8.254898716,8.660111465,6.797806883,6.795790181,Iris-setosa
1214,2.12321699,1.97534527,3.145755148,6.101836583,Iris-setosa
1215,6.566408954,2.630149778,3.500943619,8.717904683,Iris-setosa
1216,6.831721378,1.571027653,7.925754562,3.979133485,Iris-setosa
1217,2.22693933,7.363402447,7.968440677,3.564144477,Iris-setosa
1218,6.152448098,7.508413302,2.313665686,2.907470063,Iris-setosa
1219,5.103606677,8.503528872,5.851724967,6.991741898,Iris-setosa
1220,9.017960013,6.333767247,5.146757411,8.51751273,Iris-setosa
1221,1.338783244,4.896580132,4.428632512,5.774117621,Iris-setosa
1222,4.334941801,4.870404801,5.856829561,3.328301224,Iris-setosa
1223,9.888061154,3.157513151,6.690327173,9.763618453,Iris-setosa
1224,7.804064913,6.304103791,1.2026449,1.931423636,Iris-setosa
1225,8.763389751,8.075171928,8.234301,7.732583204,Iris-setosa
1226,5.425715433,9.962425747,5.23774626,8.837847188,Iris-setosa
1227,8.452875578,1.352261376,6.391855607,5.976633421,Iris-setosa
1228,7.960516823,6.470178216,3.264862585,8.051135609,Iris-setosa
1229,2.382466123,4.066927295,8.177180279,8.04868983,Iris-setosa
1230,4.642540314,4.961237873,4.352492382,8.182697061,Iris-setosa
1231,5.309545991,6.457947127,4.356050586,7.03984754,Iris-setosa
1232,6.252438075,9.569926169,3.969769417,2.811106342,Iris-setosa
1233,1.212089495,5.613720328,8.090818871,3.059848087,Iris-setosa
1234,9.249278438,9.774079486,6.310792309,9.539371968,Iris-setosa
1235,7.764304087,3.528883971,4.825503861,7.353832976,Iris-setosa
1236,2.628368416,8.982342097,5.534022643,2.183708775,Iris-setosa
1237,8.198752828,8.577494314,4.722130967,9.22684543,Iris-setosa
1238,2.64772435,8.072142812,4.208779711,6.890437648,Iris-setosa
1239,7.460963043,4.616158209,1.219892952,1.2420024,Iris-setosa
1240,4.940400899,5.186164565,3.515605014,1.553466172,Iris-setosa
1241,8.158921207,2.864591344,2.129556029,8.021970711,Iris-setosa
1242,6.490178604,3.978186196,3.072112232,1.694375555,Iris-setosa
1243,9.453960813,1.157463433,1.135702037,8.258151084,Iris-setosa
1244,2.968912484,8.37006098,1.821210668,4.493342477,Iris-setosa
1245,4.949865341,3.766815337,5.46635717,5.408557934,Iris-setosa
1246,1.58817187,7.286334499,5.817504294,6.597367252,Iris-setosa
1247,5.915495299,1.797026026,6.994185831,3.582997063,Iris-setosa
1248,9.918290962,3.191394777,7.855472571,3.842750924,Iris-setosa
1249,3.435691168,1.469230886,5.781123058,4.93426056,Iris-setosa
1250,9.07305955,2.672439615,1.012864823,7.659146265,Iris-setosa
1251,9.993715299,5.361360387,6.859424595,9.789690453,Iris-setosa
1252,3.915036308,8.653374859,7.66705799,8.977215586,Iris-setosa
1253,7.025501238,3.522836792,7.006053954,9.360275981,Iris-setosa
1254,1.793137962,9.064861271,7.329394837,4.982482626,Iris-setosa
1255,5.128184289,4.241092653,4.041062225,3.698454735,Iris-setosa
1256,8.797270306,6.510820165,5.698063473,8.837555918,Iris-setosa
1257,3.24240472,7.833056,5.089273626,8.45940082,Iris-setosa
1258,9.181119208,5.453867925,1.629548531,7.666999489,Iris-setosa
1259,1.058870538,8.504924388,1.306479842,4.844637807,Iris-setosa
1260,5.053041465,3.225473632,1.988467176,5.812424215,Iris-setosa
1261,1.128206614,8.245918283,4.209511896,7.503749594,Iris-setosa
1262,6.504881771,1.987023322,1.198575258,2.422453404,Iris-setosa
1263,4.771205312,8.200552011,2.526883955,2.400747341,Iris-setosa
1264,2.638131091,3.143421117,8.210486649,7.694380857,Iris-setosa
1265,5.225489725,8.365382843,6.695019717,7.863470903,Iris-setosa
1266,7.596837275,4.981268575,8.604645157,6.098115889,Iris-setosa
1267,1.698902198,7.762311118,3.864462895,9.465139015,Iris-setosa
1268,7.873393693,2.374744613,5.550365171,4.259814201,Iris-setosa
1269,1.55390356,3.43619911,7.613249571,7.223832735,Iris-setosa
1270,1.918121947,2.314871855,1.398669378,5.553354727,Iris-setosa
1271,9.768123716,6.427435372,3.392704143,8.331486992,Iris-setosa
1272,7.685643236,7.309545242,3.332827822,9.24806934,Iris-setosa
1273,4.173158029,7.453126082,4.50525682,1.377671012,Iris-setosa
1274,1.681309537,7.713135831,3.220979418,7.74543003,Iris-setosa
1275,8.229014039,2.636326265,7.109390106,7.543349147,Iris-setosa
1276,1.753535223,3.717654714,3.318636147,7.65248365,Iris-setosa
1277,4.209655405,5.136130697,9.178960373,4.643153146,Iris-setosa
1278,8.767495055,3.787446841,5.839186119,5.918835119,Iris-setosa
1279,5.271259886,1.040865376,9.619875387,7.960613552,Iris-setosa
1280,9.206178026,1.541819424,7.026614512,2.180012338,Iris-setosa
1281,3.750939819,9.971620491,6.109719264,8.350904635,Iris-setosa
1282,3.019397473,1.904243268,3.232414307,8.683608104,Iris-setosa
1283,2.20386281,6.826190801,3.041492003,9.828563761,Iris-setosa
1284,6.753534411,3.748724676,1.261668123,8.882381274,Iris-setosa
1285,9.412858086,2.191344154,3.85340405,8.16782463,Iris-setosa
1286,9.692142053,5.463633016,1.479622542,6.207617674,Iris-setosa
1287,4.72191996,2.458439224,1.672215813,4.081570925,Iris-setosa
1288,9.550003016,2.415329681,8.982964204,6.702509016,Iris-setosa
1289,2.343101641,3.11463768,1.051667333,9.066623367,Iris-setosa
1290,2.716094056,1.267826818,3.856946542,2.519332082,Iris-setosa
1291,2.959201664,9.712920985,5.949886377,3.130444669,Iris-setosa
1292,4.455736829,4.657012613,4.344333533,7.607747503,Iris-setosa
1293,2.254135635,3.063401355,6.105264443,2.731563795,Iris-setosa
1294,4.477556603,9.187840428,7.224322869,7.082086125,Iris-setosa
1295,8.501005042,9.281033092,7.429174953,3.778910658,Iris-setosa
1296,8.039044595,2.506262813,3.430163573,7.33707095,Iris-setosa
1297,6.763734987,6.447867617,9.625371039,6.692598882,Iris-setosa
1298,5.772205709,4.569176595,5.630646925,4.4058927,Iris-setosa
1299,2.563837626,5.279450841,2.198030678,6.181246721,Iris-setosa
1300,4.225809114,3.638521799,8.04530668,3.204405816,Iris-setosa
1301,7.731517404,5.979338822,3.917702636,8.130177842,Iris-setosa
1302,8.659844469,4.405230082,8.143612636,7.732317386,Iris-setosa
1303,5.526998344,3.723805126,4.07790755,5.359041336,Iris-setosa
1304,4.44840966,5.831709563,3.938112669,5.145711967,Iris-setosa
1305,4.31293288,2.030186569,1.256753191,2.971451683,Iris-setosa
1306,9.87689667,7.888441714,7.996104746,9.351846382,Iris-setosa
1307,2.754792703,3.898803656,4.641813316,6.583449195,Iris-setosa
1308,8.767990942,1.91930791,2.782043391,1.363874643,Iris-setosa
1309,4.21350597,5.973314182,3.050076269,4.059580553,Iris-setosa
1310,7.59474318,3.411449951,6.39553281,8.579432837,Iris-setosa
1311,5.460236762,4.306755781,5.476177284,8.442080607,Iris-setosa
1312,6.218056564,3.068436719,4.166893091,4.273461046,Iris-setosa
1313,3.483580297,1.644425312,3.506686751,2.094866662,Iris-setosa
1314,8.450568391,9.945754522,8.495472784,8.184068398,Iris-setosa
1315,8.681896056,5.121447659,1.120337184,7.123769221,Iris-setosa
1316,4.247148132,5.859680809,7.543231968,2.558051691,Iris-setosa
1317,1.30847559,3.541032006,2.92985253,6.148470825,Iris-setosa
1318,8.584502043,7.873255017,9.68410358,6.133901069,Iris-setosa
1319,7.772001857,2.970539448,4.5544427,9.128921109,Iris-setosa
1320,8.934720719,4.081314159,8.643292287,2.031129559,Iris-setosa
1321,7.049153578,2.838791808,2.778590982,5.717926367,Iris-setosa
1322,2.369866998,4.65144832,2.217885147,4.651042975,Iris-setosa
1323,5.374428339,8.407340448,9.330342546,9.657356567,Iris-setosa
1324,6.670044145,7.553714839,4.055422351,9.659262183,Iris-setosa
1325,3.728943985,9.586651784,9.724892639,9.336252991,Iris-setosa
1326,6.085773312,9.193290093,1.874646543,2.69014359,Iris-setosa
1327,6.609776618,1.436537012,9.61814703,8.148329095,Iris-setosa
1328,1.050588698,8.644602597,4.039154537,5.892072212,Iris-setosa
1329,8.478392406,9.023891632,5.855749182,8.850218621,Iris-setosa
1330,3.241839397,3.510451316,9.354679193,7.251491357,Iris-setosa
1331,7.097207024,9.120636237,6.867244901,8.004371453,Iris-setosa
1332,9.708302433,2.815162801,6.281023918,8.255209893,Iris-setosa
1333,4.321253723,4.66406865,1.644476499,8.031819261,Iris-setosa
1334,7.721878115,9.132763715,3.542547932,2.233546079,Iris-setosa
1335,5.493229337,4.381037101,2.3385974,1.208153261,Iris-setosa
1336,6.362920002,3.039695345,5.833150449,4.80645275,Iris-setosa
1337,6.299308452,2.649195191,1.078710178,1.62398569,Iris-setosa
1338,4.225638343,3.968382027,4.596034578,7.389819477,Iris-setosa
1339,4.264070248,2.038804219,6.582073909,4.106491464,Iris-setosa
1340,8.508487773,3.046614464,6.358502079,6.707364461,Iris-setosa
1341,4.628362065,7.89786199,7.572509181,3.655227545,Iris-setosa
1342,9.110583528,8.455501153,7.541763027,3.470804539,Iris-setosa
1343,3.543959331,4.612533467,8.451326668,5.093170501,Iris-setosa
1344,7.070450646,6.207043334,7.888094129,7.013699878,Iris-setosa
1345,7.351702564,7.402195253,2.842250888,5.071256012,Iris-setosa
1346,8.368483466,6.18207514,3.762699195,5.033188055,Iris-setosa
1347,7.682590222,6.801792069,7.146083531,9.237092524,Iris-setosa
1348,7.281684893,9.331873074,5.639533784,9.449647623,Iris-setosa
1349,3.892617202,1.169094005,2.997077724,3.75321845,Iris-setosa
1350,8.377688153,2.139763816,8.203181987,8.348807578,Iris-setosa
1351,3.343203687,7.849973341,5.234233761,8.110531296,Iris-setosa
1352,5.192306318,8.441375573,8.867316676,2.784366473,Iris-setosa
1353,1.431986805,2.244751391,1.469774613,2.429710902,Iris-setosa
1354,7.965201289,4.356526762,7.919521203,5.382663136,Iris-setosa
1355,4.222105174,7.691666081,5.536160341,8.99876477,Iris-setosa
1356,7.660635822,6.210345204,3.243720673,6.029832703,Iris-setosa
1357,2.317740569,4.680616513,9.266075514,3.220444443,Iris-setosa
1358,9.638345423,5.582775863,8.151518461,1.013990865,Iris-setosa
1359,3.970775612,3.117823859,1.73779277,6.334069054,Iris-setosa
1360,1.17775875,6.532123298,6.517009973,8.259471234,Iris-setosa
1361,5.68318913,5.781405924,9.405451863,6.015750136,Iris-setosa
1362,2.164253309,8.017765215,1.041309468,7.075718475,Iris-setosa
1363,4.298509073,8.707247351,5.479748397,1.839319137,Iris-setosa
1364,6.303244474,7.27265742,3.28817218,1.458018133,Iris-setosa
1365,1.353772144,4.443734483,5.254925507,8.042913307,Iris-setosa
1366,2.326664918,6.694635429,8.020881262,5.211764127,Iris-setosa
1367,8.522036216,7.349008611,7.816841528,9.276904354,Iris-setosa
1368,1.031902574,4.011119563,7.594191979,3.550096284,Iris-setosa
1369,3.530299664,7.280405715,8.889988198,1.502732127,Iris-setosa
1370,4.266087123,2.564556268,7.937863404,2.419067481,Iris-setosa
1371,1.93895286,6.115362833,8.361986565,3.290560311,Iris-setosa
1372,7.956639051,8.457582178,5.833559364,2.10952579,Iris-setosa
1373,3.830856244,5.002168333,6.723865174,4.889799725,Iris-setosa
1374,3.389297635,6.917673437,3.04658939,5.008956922,Iris-setosa
1375,1.501813114,1.132244843,8.963865381,3.958612759,Iris-setosa
1376,3.979644614,2.843461657,2.127674748,5.693904169,Iris-setosa
1377,9.414361363,6.934719187,6.71504864,5.503987643,Iris-setosa
1378,5.522297898,3.511681803,1.990653246,7.062037561,Iris-setosa
1379,2.944822613,7.995462199,8.338362502,5.621356844,Iris-setosa
1380,5.608168468,1.574790686,6.380907469,9.897785757,Iris-setosa
1381,9.423183655,8.226519733,8.913652267,6.239506907,Iris-setosa
1382,5.181619824,8.744780893,3.316350185,8.612752097,Iris-setosa
1383,4.046967619,6.16623747,8.417034171,5.77022792,Iris-setosa
1384,1.661085021,2.263485886,5.357056119,1.05258949,Iris-setosa
1385,9.784662823,9.067658501,1.120234562,4.37668617,Iris-setosa
1386,1.280463275,3.191590346,3.67013971,6.223869464,Iris-setosa
1387,4.286085254,8.027787826,8.005838573,6.667587291,Iris-setosa
1388,4.835293227,6.336786326,8.592174088,9.950604727,Iris-setosa
1389,8.381422608,3.396345853,5.562583911,4.928818762,Iris-setosa
1390,1.737293147,5.115147801,5.07046395,4.649668019,Iris-setosa
1391,5.694926002,5.459360067,3.472226104,3.979953311,Iris-setosa
1392,9.158597559,2.347724241,9.006758638,8.671271498,Iris-setosa
1393,9.221626381,4.380657481,5.317320764,4.155182866,Iris-setosa
1394,6.467133021,9.961752533,5.481977084,5.302336655,Iris-setosa
1395,8.532628649,9.18842916,8.956893325,2.580870138,Iris-setosa
1396,4.127335568,3.977914698,5.607880891,6.540721939,Iris-setosa
1397,7.82528839,6.979924075,1.702306377,3.317073745,Iris-setosa
1398,7.537970121,9.129600224,2.365199877,7.827290462,Iris-setosa
1399,4.920411162,1.411804939,7.360381478,9.955249014,Iris-setosa
1400,9.357658347,5.530087598,2.519135714,8.738640239,Iris-setosa
1401,9.673148415,3.164997976,4.929381465,7.149982199,Iris-setosa
1402,2.876018926,4.969742422,2.052771802,3.327703215,Iris-setosa
1403,5.91199737,2.44762046,9.07019121,4.769567574,Iris-setosa
1404,6.303962532,3.013119073,4.608162889,8.909606248,Iris-setosa
1405,6.876133932,6.185894574,6.09770316,8.741868026,Iris-setosa
1406,8.997129908,7.176403935,5.600755663,7.430522868,Iris-setosa
1407,4.819980375,2.194495707,4.854913041,5.274607917,Iris-setosa
1408,8.470308964,7.266279617,3.042195437,6.303133933,Iris-setosa
1409,1.421222093,1.697746056,6.77698392,9.251755567,Iris-setosa
1410,9.895980334,2.149735193,5.345488248,3.354720036,Iris-setosa
1411,7.913333592,5.043580298,8.714599174,2.217569181,Iris-setosa
1412,8.252325817,7.246043387,8.613607945,9.893526224,Iris-setosa
1413,2.189174521,6.072612448,6.908341664,5.695547924,Iris-setosa
1414,1.87279578,2.625955328,2.534438217,1.746973485,Iris-setosa
1415,3.034417,9.611548052,6.153973033,3.473149546,Iris-setosa
1416,1.660996193,4.314080033,6.004835588,6.768366411,Iris-setosa
1417,6.939477125,4.48000401,6.565636167,1.718124469,Iris-setosa
1418,8.039860613,4.395086532,8.762798028,2.178372795,Iris-setosa
1419,8.198101371,3.8860157,4.028476899,6.215810505,Iris-setosa
1420,5.846608123,7.997787345,1.870230073,8.91224186,Iris-setosa
1421,5.098661946,5.921404735,5.613353778,4.06270708,Iris-setosa
1422,4.997052309,2.666425355,4.689429224,4.098383304,Iris-setosa
1423,2.263163922,4.173502363,8.370498093,7.18675338,Iris-setosa
1424,4.13320071,8.199465228,2.848349028,3.858714253,Iris-setosa
1425,3.174209999,7.8378642,1.733799906,7.943541571,Iris-setosa
1426,1.815418408,3.009829641,9.758961579,4.426191806,Iris-setosa
1427,2.909658934,9.705882104,5.542026471,6.115009026,Iris-setosa
1428,6.28488014,1.522674753,1.51365355,1.881236278,Iris-setosa
1429,5.623393149,7.311098079,9.862479206,6.326877077,Iris-setosa
1430,7.360944572,5.929520885,9.274244694,6.248859662,Iris-setosa
1431,2.206094601,2.838157736,7.378877388,8.376542836,Iris-setosa
1432,7.117660411,6.30037329,2.203056021,9.147137352,Iris-setosa
1433,6.29860111,9.363938912,4.579478285,1.076233435,Iris-setosa
1434,8.406575313,1.126157591,1.539234087,5.299812955,Iris-setosa
1435,4.937106903,5.960270174,9.417672861,7.618653727,Iris-setosa
1436,4.227101598,1.497237158,2.93842873,1.514517493,Iris-setosa
1437,5.508740698,6.998126429,1.011902675,2.21209738,Iris-setosa
1438,1.79883588,2.539838964,2.042187263,7.159673313,Iris-setosa
1439,9.133358377,8.400478495,8.615387651,3.008725973,Iris-setosa
1440,8.817317985,1.883792858,3.873847853,9.143767302,Iris-setosa
1441,3.772207587,1.713400707,1.513551422,1.306703801,Iris-setosa
1442,8.972604087,2.313310742,4.864462252,6.542796746,Iris-setosa
1443,7.085298222,5.633410608,2.777206536,7.834600505,Iris-setosa
1444,5.97052812,4.614885609,1.34341695,1.529229562,Iris-setosa
1445,9.754697151,9.580874897,9.696950095,5.747819484,Iris-setosa
1446,6.221125489,8.465444251,6.403174437,5.219326962,Iris-setosa
1447,3.006102157,3.191854327,3.612860426,1.989611673,Iris-setosa
1448,2.871581443,4.469000109,1.074293013,8.383227281,Iris-setosa
1449,8.011026728,9.050460876,2.77894128,6.781418294,Iris-setosa
1450,7.785905239,6.698324117,1.479664278,4.626344216,Iris-setosa
1451,4.022800073,9.824148299,8.301311468,3.691234654,Iris-setosa
1452,3.862329127,9.048434565,5.310094033,4.862995197,Iris-setosa
1453,2.833433046,5.865122119,8.923967251,4.052537649,Iris-setosa
1454,1.370634575,8.655263647,7.128924086,8.443544482,Iris-setosa
1455,9.145529494,2.678756802,5.368487153,5.694516302,Iris-setosa
1456,9.833769913,1.094865987,6.548709605,9.556844191,Iris-setosa
1457,9.720689025,6.514411035,2.899114307,6.025642307,Iris-setosa
1458,1.43711856,3.658594126,5.461448207,5.269421142,Iris-setosa
1459,9.921560959,2.271566885,6.140309989,5.41626381,Iris-setosa
1460,8.079614652,6.147260735,9.653588372,7.290733722,Iris-setosa
1461,8.969974392,6.4954279,4.808335848,6.36187723,Iris-setosa
1462,6.314405118,3.163811341,4.492318065,7.709813864,Iris-setosa
1463,8.483786217,8.324382392,8.107292079,2.630503597,Iris-setosa
1464,8.301009334,2.792972208,6.873970566,9.792016065,Iris-setosa
1465,8.10586417,3.041479254,3.947044058,4.544328969,Iris-setosa
1466,4.584230814,5.22276621,8.151654255,2.443792599,Iris-setosa
1467,7.770529793,2.293304414,8.119299834,9.097760114,Iris-setosa
1468,5.977331371,7.790179529,7.405692279,4.756468742,Iris-setosa
1469,2.641735963,9.104749965,2.172855756,4.717414868,Iris-setosa
1470,8.729500738,8.81329667,7.045231578,9.039347654,Iris-setosa
1471,3.166845945,6.048856887,2.49161146,7.746789344,Iris-setosa
1472,2.134642203,7.510545729,9.979789471,1.453612862,Iris-setosa
1473,1.063348093,9.090122586,5.946497642,8.715115475,Iris-setosa
1474,8.964873072,3.244341043,9.457165497,8.462426052,Iris-setosa
1475,9.556383754,8.345195539,9.892312161,3.740526183,Iris-setosa
1476,6.245841885,6.770032209,9.535895374,4.008608403,Iris-setosa
1477,2.834619184,6.048970395,4.779879873,3.965885044,Iris-setosa
1478,3.410384933,3.348278379,1.782858183,1.171558321,Iris-setosa
1479,9.578711624,2.187802227,6.839268789,3.557076002,Iris-setosa
1480,4.036653817,7.620557731,8.384244681,5.897936409,Iris-setosa
1481,3.884814569,5.403291634,5.56887473,2.134911036,Iris-setosa
1482,9.547450201,5.504409563,9.503584551,7.302657883,Iris-setosa
1483,8.126546842,8.327249962,2.517306967,2.50542162,Iris-setosa
1484,9.552163436,9.916627401,8.842082855,4.387529155,Iris-setosa
1485,2.293379253,6.049385077,9.540137369,9.537348375,Iris-setosa
1486,4.103162518,9.522328229,8.734463778,4.445461937,Iris-setosa
1487,5.690637204,6.280449459,6.660263652,3.309519685,Iris-setosa
1488,3.257464898,8.388082069,8.440434032,8.321123066,Iris-setosa
1489,9.788230459,4.405205218,5.271663934,8.508043685,Iris-setosa
1490,1.00908396,1.482033695,1.11527981,7.148776007,Iris-setosa
1491,6.932577041,6.949292342,8.780575864,7.285307982,Iris-setosa
1492,9.053013823,2.064246572,5.569842353,2.180719308,Iris-setosa
1493,3.260392702,7.295431113,2.761582857,8.964840342,Iris-setosa
1494,3.549037825,4.652282217,6.426679544,1.998209097,Iris-setosa
1495,2.22672449,6.917264573,9.633818265,8.474602022,Iris-setosa
1496,2.335106661,8.601999951,5.888042807,5.726171866,Iris-setosa
1497,6.128957232,1.511902781,5.708797738,9.344970121,Iris-setosa
1498,5.980672898,7.238767147,3.868869607,4.896539532,Iris-setosa
1499,8.20054947,4.269078586,3.190786775,1.067798919,Iris-setosa
1500,5.440300136,8.06541933,1.402932673,5.693184337,Iris-setosa
1501,8.414671855,5.95145429,3.807765085,9.065013396,Iris-setosa
1502,7.897359511,6.040223167,3.642795198,2.39927066,Iris-setosa
1503,3.561929816,9.757973747,1.289904222,3.555370805,Iris-setosa
1504,6.457958664,7.339756738,9.188239311,5.193737545,Iris-setosa
1505,8.914529889,4.205267171,7.518908347,6.168876824,Iris-setosa
1506,7.177696845,6.341559146,3.947376207,6.156946895,Iris-setosa
1507,5.214362895,6.66655569,1.649161641,2.290449862,Iris-setosa
1508,1.833586023,4.565882077,5.029992981,4.097226551,Iris-setosa
1509,5.99536503,1.765504701,1.278372666,7.25595274,Iris-setosa
1510,1.741936934,7.485304455,2.110778845,4.578712348,Iris-setosa
1511,5.227164527,6.414725245,9.411365947,4.851079573,Iris-setosa
1512,4.607688112,1.379174324,5.123511145,7.274318674,Iris-setosa
1513,1.988337664,3.905380829,8.31199466,4.66191358,Iris-setosa
1514,3.823806622,6.744426112,7.004593018,9.874298206,Iris-setosa
1515,3.227124031,2.477193563,2.897342511,7.166112288,Iris-setosa
1516,4.224376192,4.035540372,5.191672804,3.974610415,Iris-setosa
1517,7.474325068,8.978544572,9.989008389,3.835462409,Iris-setosa
1518,1.524140405,8.869645487,8.658762172,1.816889839,Iris-setosa
